company,city
Bath & Body Works,Columbus
Booz Allen Hamilton Holding,McLean
Coinbase Global,Wilmington
Zimmer Biomet Holdings,Warsaw
Westinghouse Air Brake Technologies,Pittsburgh
Zoetis,Parsippany
Packaging Corp. of America,Lake Forest
LPL Financial Holdings,San Diego
T. Rowe Price,Baltimore
Fortune Brands Home & Security,Deerfield
Casey's General Stores,Ankeny
A-Mark Precious Metals,El Segundo
Hess,New York
Vertex Pharmaceuticals,Boston
KeyCorp,Cleveland
Chipotle,Newport Beach
CMS Energy,Jackson
Arconic,Pittsburgh
Taylor Morrison Home,Scottsdale
American Financial Group,Cincinnati
UGI,King of Prussia
Science Applications International,Reston
Avantor,Radnor
Hanesbrands,Winston-Salem
Clorox,Oakland
KBR,Houston
TravelCenters of America,Westlake
Hertz Global Holdings,Estero
Analog Devices,Wilmington
Securian Financial Group,St. Paul
Darden Restaurants,Orlando
NCR,Atlanta
Graphic Packaging Holding,Atlanta
Brighthouse Financial,Charlotte
PPL,Allentown
Cintas,Cincinnati
Xerox Holdings,Norwalk
Rockwell Automation,Milwaukee
Citizens Financial Group,Providence
KLA,Milpitas
Camping World Holdings,Lincolnshire
Ingredion,Westchester
Veritiv,Atlanta
Beacon Roofing Supply,Herndon
Diamondback Energy,Midland
Victoria's Secret,Reynoldsburg
Academy Sports and Outdoors,Katy
Sanmina,San Jose
ON Semiconductor,Phoenix
Commercial Metals,Irving
EnLink Midstream,Dallas
Southwestern Energy,Spring
Equinix,Redwood City
Dillard&#8217;s,Little Rock
Regions Financial,Birmingham
Yum Brands,Louisville
Landstar System,Jacksonville
CF Industries Holdings,Deerfield
Northern Trust,Chicago
Robert Half International,Menlo Park
Compass,New York
Hasbro,Pawtucket
Roper Technologies,Sarasota
ARKO,Richmond
Frontier Communications,Norwalk
Ameren,St. Louis
O-I Glass,Perrysburg
Chemours,Wilmington
Crown Castle International,Houston
Agilent Technologies,Santa Clara
McCormick,Hunt Valley
Skechers U.S.A.,Manhattan Beach
Watsco,Miami
Live Nation Entertainment,Beverly Hills
Lululemon athletica,Sumner
ABM Industries,New York
Post Holdings,St. Louis
Moody's,New York
Select Medical Holdings,Mechanicsburg
Alaska Air Group,Seattle
Big Lots,Columbus
Amkor Technology,Tempe
Sinclair Broadcast Group,Hunt Valley
RPM International,Medina
M&T Bank,Buffalo
Sprouts Farmers Market,Phoenix
Huntington Bancshares,Columbus
CACI International,Reston
JetBlue Airways,Long Island City
SVB Financial Group,Santa Clara
Fastenal,Winona
GameStop,Grapevine
Knight-Swift Transportation Holdings,Phoenix
Airbnb,San Francisco
Patterson,St. Paul
PENN Entertainment,Wyomissing
ServiceNow,Santa Clara
Nasdaq,New York
Brunswick,Mettawa
Resideo Technologies,Scottsdale
Chesapeake Energy,Oklahoma City
Petco Health and Wellness,San Diego
Kemper,Chicago
Hilton Worldwide Holdings,McLean
Cerner,North Kansas City
Levi Strauss,San Francisco
Tapestry,New York
NetApp,San Jose
KB Home,Los Angeles
Continental Resources,Oklahoma City
Intuitive Surgical,Sunnyvale
Under Armour,Baltimore
MDU Resources Group,Bismarck
Silgan Holdings,Stamford
Ryerson Holding,Chicago
Ingersoll Rand,Davidson
Hologic,Marlborough
Electronic Arts,Redwood City
Zebra Technologies,Lincolnshire
Coty,New York
Schneider National,Green Bay
Sonoco Products,Hartsville
Concentrix,Fremont
Evergy,Kansas City
Cornerstone Building Brands,Cary
Coca-Cola Consolidated,Charlotte
Greif,Delaware
Vulcan Materials,Birmingham
Ametek,Berwyn
Monster Beverage,Corona
Sealed Air,Charlotte
NOV,Houston
Las Vegas Sands,Las Vegas
Martin Marietta Materials,Raleigh
Marathon Oil,Houston
Mattel,El Segundo
Microchip Technology,Chandler
Harley-Davidson,Milwaukee
Telephone & Data Systems,Chicago
ADT,Boca Raton
First Republic Bank,San Francisco
Warner Music Group,New York
Pool,Covington
Old Dominion Freight Line,Thomasville
Fortive,Everett
MDC Holdings,Denver
NGL Energy Partners,Tulsa
Edwards Lifesciences,Irvine
Hanover Insurance Group,Worcester
Syneos Health,Morrisville
Xylem,Washington
Church & Dwight,Ewing
American Axle & Manufacturing,Detroit
Meritage Homes,Scottsdale
Workday,Pleasanton
Rush Enterprises,New Braunfels
Yellow,Nashville
Encompass Health,Birmingham
Simon Property Group,Indianapolis
Globe Life,McKinney
Skyworks Solutions,Irvine
Endeavor Group Holdings,Beverly Hills
Twitter,San Francisco
Leggett & Platt,Carthage
Western Union,Denver
PerkinElmer,Waltham
SS&C Technologies Holdings,Windsor
CUNA Mutual Group,Madison
FMC,Philadelphia
Carlisle,Scottsdale
American Eagle Outfitters,Pittsburgh
Core & Main,St. Louis
Vertiv Holdings,Columbus
Broadridge Financial Solutions,Lake Success
Ingles Markets,Black Mountain
TPG,Fort Worth
Insperity,Kingwood
Howmet Aerospace,Pittsburgh
R.R. Donnelley & Sons,Chicago
Keysight Technologies,Santa Rosa
Tempur Sealy International,Lexington
Scotts Miracle-Gro,Marysville
Equifax,Atlanta
Kelly Services,Troy
NiSource,Merrillville
OneMain Holdings,Evansville
DoorDash,San Francisco
Avient,Avon Lake
Sanderson Farms,Laurel
TransDigm Group,Cleveland
Stifel Financial,St. Louis
JELD-WEN Holding,Charlotte
Ares Management,Los Angeles
Elanco Animal Health,Greenfield
Prologis,San Francisco
Welltower,Toledo
Darling Ingredients,Irving
Juniper Networks,Sunnyvale
Gartner,Stamford
Par Pacific Holdings,Houston
Hubbell,Shelton
CME Group,Chicago
Nexstar Media Group,Irving
Tutor Perini,Sylmar
Antero Resources,Denver
Teledyne Technologies,Thousand Oaks
Snap-on,Kenosha
Rent-A-Center,Plano
Covetrus,Portland
Crestwood Equity Partners,Houston
Louisiana-Pacific,Nashville
Urban Outfitters,Philadelphia
Penn Mutual Life Insurance,Horsham
Amerco,Reno
TriNet Group,Dublin
Sentry Insurance Group,Stevens Point
